sample_name,tsp_length,tsp_GC_per,tsp_GC_skew,rib_length,rib_GC_per,rib_GC_skew,tsp_GC3s,rib_GC3s,tsp_cost_per_aa,rib_cost_per_aa,tsp_ENc,rib_ENc,ENc_diff,rib_GC3s_skew,tsp_GC3s_skew,fungi_gs,fungi_gc_genome
HG3,653.191707576968,50.6072194314419,-0.36435259,495.01792054806,51.3023100380133,-0.106075024,0.605942,0.6145428,23.83873,23.71361,53.1408788301048,51.7342835040769,0.026469177,-0.029695053,-0.02765684,61.5762909495323,49.2248325999577
HG4,659.005714504556,50.6856776297253,-0.350632316,498.773062614288,51.6805132732203,-0.142603254,0.6063215,0.6165964,23.78249,23.63957,53.1503311276401,52.1603022082019,0.018626957,-0.027376999,-0.02806224,56.6801078445226,47.9979366167212
HG5,652.173989351793,48.6248430467992,-0.289218274,497.789584387231,50.3546497510583,-0.153659576,0.5865202,0.6043864,24.09524,23.85285,52.3937695477288,51.2437903741605,0.021948777,-0.031622293,-0.02672879,56.7175412975446,49.8206526346192
HSD1,436.709887447635,53.6508252157674,0.0885337909453389,443.174655647383,54.7602837465565,0.166312672176309,0.6333197,0.6435186,23.33401,23.17093,52.4803839547338,53.8251350234224,-0.02562388,-0.024430498,-0.02713285,49.0955969393683,49.3342557622786
HSD2,430.820977151191,55.6683501458435,0.0965969859017987,433.668830088201,55.9658811782326,-0.112476286,0.6515718,0.6562216,23.00673,22.99,53.1841579459723,54.539064113239,-0.025475747,-0.022555997,-0.02529702,43.6871403727277,49.5996865099074
HSD3,431.485828488372,55.3865465116279,-0.009359012,442.214328597158,55.867752651591,0.0946147688613168,0.6492718,0.6547555,23.04181,23.00981,52.8671378708551,54.2404643714972,-0.025976941,-0.019913007,-0.02983794,42.4127598876782,49.6451500565021
HSD4,445.283040434348,52.4930922274611,0.0581543791970282,462.823369310183,53.8754359455655,-0.246623182,0.6222779,0.6372776,23.53257,23.3381,53.3341546325422,54.3596639759715,-0.019228004,-0.026977081,-0.02552548,44.8966143247578,50.1566420605711
HSD5,441.687552751095,53.4674474498613,0.0205727261766006,460.313118139333,54.4737082925769,-0.176278665,0.6312496,0.6425302,23.33464,23.20405,52.8034456114934,54.001431988692,-0.022687655,-0.025100307,-0.02794353,44.8644923262108,49.4798384391136
JGS1,483.725065150438,49.3725053304904,-0.572194188,476.330842942992,51.2751762221861,-0.504435602,0.5937321,0.6144189,24.03091,23.65969,50.3181419252817,49.6692669050715,0.012895449,-0.0331184,-0.03014629,43.1533456694185,49.0608089144802
JGS2,513.315914348419,48.6649704411096,-0.40313087,489.638249848077,50.1254015105478,-0.441001823,0.5870734,0.6038812,24.09343,23.804,49.7606554132943,48.3235542430296,0.02888027,-0.039628379,-0.03213302,46.4661719870148,50.4125994367532
JGS3,510.754006572295,48.2580054347826,-0.445971562,484.632903468136,49.4262670589708,-0.590714912,0.5819313,0.5961904,24.15715,23.86661,49.4902043269231,48.1308361518226,0.027467419,-0.042161075,-0.03441478,45.3899102357675,49.6883064488126
JGS4,591.105148816852,47.4861131675312,-0.314411087,502.919090361255,48.5679669510609,-0.377804244,0.574385,0.5864762,24.25987,24.01144,49.8349349017862,47.7832505715011,0.0411696,-0.04406057,-0.03287157,44.2816358961063,50.4595835553378
JGS5,508.006520366621,47.0727390982518,-0.239170313,483.42215375441,48.8177587834816,-0.29985688,0.571034,0.5919313,24.37027,24.00241,49.8118834657339,48.6994739197454,0.022332212,-0.037839733,-0.03008743,43.9756191700631,49.5777714734228
JX1,703.671604789826,47.0004582234073,-0.321837067,538.112920300449,49.717233452639,-0.175755407,0.5707792,0.5983405,24.30791,23.94384,51.692932807667,50.7362558,0.018506921,-0.03163891,-0.02647897,52.9966843223849,49.4019064738293
JX2,692.168567798113,48.2820580324929,-0.328007954,539.377515879697,49.9422943292263,-0.236712711,0.5830147,0.6012325,24.23113,23.9302,52.4283617647059,50.9446406279916,0.028299971,-0.031631401,-0.0271134,50.2850426385353,49.8634121829592
JX3,701.279590956075,47.5750224091041,-0.267197909,551.141204437401,49.2086101426307,-0.572490887,0.5764062,0.5938252,24.23638,23.9652,52.0432551614717,49.596898877296,0.047006212,-0.035876268,-0.02675094,52.7350499787271,48.7130630764409
JX4,461.807094594595,51.6238673986486,-0.081217061,467.088477366255,52.5352290809328,-0.369441701,0.6144241,0.6233707,23.58915,23.43116,51.2668490661709,51.1396364384689,0.002481382,-0.033611097,-0.03208755,57.8268614634257,47.2987527533969
